ipu_country,wpei_country,ipu_r2,wpei_r2,ipu_tmid,wpei_tmid,ipu_n,wpei_n
Central African Republic,Central African Republic,0.6303718496221014,0.9871222891887792,1996.5204137573544,1965.7117379902827,24,104
Chad,Chad,0.888998400584564,0.9131333996848526,2033.999384349554,2000.1779381233628,28,106
Chile,Chile,0.9405322935679038,0.8775703401014017,2020.1818285522866,1990.674334863988,28,143
China,China,0.9186547136548111,0.9841458922258568,2014.5852569693882,1953.8219140639524,28,237
Colombia,Colombia,0.8618030492928049,0.9614940149461024,2023.104748394938,1993.465270724028,28,158
Comoros,Comoros,0.9435482971792745,0.916286090990832,2019.1424640817677,1976.6254565529164,24,94
"Congo, Dem. Rep.",Democratic Republic of Congo,0.6897207960064493,0.972513729987426,2019.1009439705156,1999.4783266962645,21,126
"Congo, Rep.",Congo,0.6143251154253371,0.8834268925567518,2019.1570190670002,2091.005125661531,27,123
Costa Rica,Costa Rica,0.7840929011828455,0.965733917001896,1994.3888835147438,1960.519586060959,29,126
Cote d'Ivoire,Cote d'Ivoire,0.8818871320233073,0.9601987749876624,2020.2299690765174,1968.195776957799,28,126
Croatia,Croatia,0.514341810938585,0.9209541587232049,2046.085779905772,1961.941814590744,28,85
Cuba,Cuba,0.9760773823343172,0.9532155696942914,2004.1762396020865,1937.0044329365332,29,233
Cyprus,Cyprus,0.6427891587210163,0.9892498564756996,2000.6037743005054,1969.4319571897847,29,126
Czechia,Czechia,0.8625513727767576,0.8678021534499711,2037.8026929381008,2000.6154517286736,29,177
Denmark,Denmark,0.6071657486230381,0.983536154875377,2059.8080641721162,1905.3116833363213,28,185
Djibouti,Djibouti,0.8276651736202656,0.980710921804098,2010.7050186947938,1990.922663460355,28,126
Dominica,Dominican Republic,0.8945493057173417,0.9695289771961946,2017.472019614086,1991.8969660870105,28,160
Dominican Republic,Dominican Republic,0.9193320464506105,0.9695289771961946,2036.786303183547,1991.8969660870105,29,160
Ecuador,Ecuador,0.9329193775463721,0.9845306277789828,2008.9689847163509,1989.1121369366467,28,126
"Egypt, Arab Rep.",Egypt,0.9412600516630782,0.9241842291533596,2018.8491352765539,2098.103214015138,26,205
El Salvador,El Salvador,0.9133649162086235,0.977307014882664,2011.7654701547513,1994.24242851636,29,126
Equatorial Guinea,Equatorial Guinea,0.7497040220000494,0.9724633282033014,2022.289044393508,1978.69361165327,28,126
Eritrea,Eritrea,0.5773542449372691,0.2508625722526768,2001.6727215556607,1939.9813228881676,23,126
Estonia,Estonia,0.8463178607846263,0.8628012788727869,1993.9707939900181,2005.5560757820915,29,230
Eswatini,Eswatini,0.5295653867331969,0.5703107397721805,2022.3470419431972,1974.106785290381,29,126
Ethiopia,Ethiopia,0.9641784807375401,0.982842717839671,2005.4424536539,1992.683168450384,29,237
Fiji,Fiji,0.628095237146861,0.9091572717425556,2005.5462360461738,1970.6845299060476,20,124
Finland,Finland,0.9070110110087765,0.9726814854362142,1970.4997272216224,1935.1777491297632,29,126
France,France,0.9596558862922989,0.9022491901157078,2015.557349086429,1947.246194959673,29,127
Gabon,Gabon,0.7575106265176113,0.9829835241489752,2062.7056822773566,1978.5416409290488,28,116
"Gambia, The",Gambia,0.6862240854997491,0.932014367320209,2001.2197733253415,1973.4051707128297,28,126
Georgia,Georgia,0.8934175623632002,0.9810500774490392,2014.0656370666472,1999.9260615398389,28,213
Germany,Germany,0.5375915800923898,0.9021699321627932,1990.745389540722,1985.78764304171,29,139
Ghana,Ghana,0.8607089938044206,0.9351314111954192,2015.7045044795925,1997.3506618017925,27,124
Greece,Greece,0.9553095046547582,0.95305191391764,2004.2516857109003,1981.2149681017409,29,169
Guatemala,Guatemala,0.8445103114348779,0.9485703180540104,2019.3040624438934,1997.0488953226013,29,161
Guinea,Guinea,0.8010496847407972,0.8518299850261661,1994.7468919899027,1961.1589534748955,21,126
Guinea-Bissau,Guinea-Bissau,0.4344690208044226,0.971999790242043,2002.5350179058137,1973.462926465863,26,126
Guyana,Guyana,0.8385933792715674,0.9758875156171632,1993.809398850207,1963.074504810077,27,116
Haiti,Haiti,0.1775532976856038,0.7948093761641337,2014.7037438694592,1992.2876588235456,22,198
Honduras,Honduras,0.7891031659607539,0.9549233492481062,2004.373941118357,1991.7656660992136,26,127
Hungary,Hungary,0.8071958228234355,0.9400798256459276,2019.0951355646769,1990.155878838394,29,185
Iceland,Iceland,0.6985763515501997,0.9705755725839214,1982.4081050245584,1988.3444037325944,29,103
India,India,0.932209899677246,0.959867399296042,2017.9908432757252,1962.5082637341543,29,237
Indonesia,Indonesia,0.8932737655351638,0.9504499801925356,2007.511728168022,1988.0667843116696,28,226
"Iran, Islamic Rep.",Iran,0.5997114308160272,0.9157709761883038,2015.3099529349176,1947.0169590470464,29,237
Iraq,Iraq,0.9771355436987449,0.910465516078344,2003.2301625882017,2048.3829275172657,26,235
Ireland,Ireland,0.9621954347822392,0.9700011637223748,2015.7369377713064,1989.5264399421208,29,126
Israel,Israel,0.9248875750298003,0.9952363343995304,2012.644801845396,1934.684331467376,29,207
Italy,Italy,0.9595872568863629,0.9759641387406576,2011.8647836615874,1967.2274605915436,29,159
Jamaica,Jamaica,0.950028259744033,0.9937858399000752,2019.1344962602736,1968.8141401769776,28,104
Japan,Japan,0.614793566178135,0.965231885456464,1988.6950723227342,1952.471914061728,29,227
Jordan,Jordan,0.8965527105987366,0.9870290127449928,2005.4248891411696,1985.9414742156573,29,104
Kazakhstan,Kazakhstan,0.8436416515609935,0.9783848197730416,2010.411958999025,1992.016516925231,29,225
Kenya,Kenya,0.9704621191764453,0.9822037667174364,2013.72210795681,1984.681629378444,29,126
"Korea, Dem. People's Rep.",North Korea,0.7910867848616651,0.9828303476740816,2007.7802693513142,1914.1254512150565,28,203
"Korea, Rep.",South Korea,0.9447691160054029,0.9761081520155992,2000.4197555986477,1972.9045461693047,29,237
