peak_year,peak_val,trough_year,trough_val,drop,duration,rebounded,overshoot,recovery_time,max_after,max_after_year,ongoing,code,entity,region
2019,0.902,2024,0.871,0.031000000000000028,5,False,,,0.875,2025,True,URY,Uruguay,South America
2022,0.909,2024,0.868,0.041000000000000036,2,False,,,0.868,2024,True,USA,United States,North America
1923,0.302,1933,0.227,0.07499999999999998,10,True,0.343,90.0,0.645,2023,False,UZB,Uzbekistan,Asia
1988,0.534,1990,0.371,0.16300000000000003,2,True,0.11099999999999999,33.0,0.645,2023,False,UZB,Uzbekistan,Asia
1991,0.429,1995,0.389,0.03999999999999998,4,True,0.21600000000000003,28.0,0.645,2023,False,UZB,Uzbekistan,Asia
2013,0.516,2016,0.482,0.03400000000000003,3,True,0.129,7.0,0.645,2023,False,UZB,Uzbekistan,Asia
1811,0.166,1813,0.121,0.04500000000000001,2,True,0.6789999999999999,186.0,0.845,1999,False,VEN,Venezuela,South America
1947,0.491,1949,0.296,0.195,2,True,0.354,50.0,0.845,1999,False,VEN,Venezuela,South America
1999,0.845,2018,0.738,0.10699999999999998,19,False,,,0.76,2023,False,VEN,Venezuela,South America
2016,0.738,2020,0.698,0.040000000000000036,4,True,0.07000000000000006,5.0,0.808,2025,False,VNM,Vietnam,Asia
2011,0.691,2020,0.629,0.061999999999999944,9,True,0.02400000000000002,5.0,0.715,2025,False,VUT,Vanuatu,Oceania
1992,0.279,2010,0.235,0.04400000000000004,18,True,0.00599999999999995,2.0,0.285,2012,False,YEM,Yemen,Asia
2012,0.285,2020,0.135,0.14999999999999997,8,False,,,0.175,2023,False,YEM,Yemen,Asia
2012,0.897,2020,0.825,0.07200000000000006,8,False,,,0.839,2024,False,ZAF,South Africa,Africa
2020,0.81,2023,0.694,0.1160000000000001,3,False,,,0.727,2025,True,ZWE,Zimbabwe,Africa
