entity,code,n_points,r2,v,collapse_r2,S_hat_std,t_hat_range
Colombia,COL,74,0.9614940149461024,7.927770021511422,0.878158408028965,0.24729392009577814,12.188306527980117
Comoros,COM,74,0.916286090990832,0.5911460133890744,0.8682440868237069,0.33809286861655446,5.585855268783743
Cape Verde,CPV,74,0.985666868173826,0.005,0.9747814509852191,0.4147181403454876,9.270028920514388
Costa Rica,CRI,74,0.965733917001896,0.0050000000000488,0.862657007833638,0.21290593966456733,3.1731619652260754
Cuba,CUB,74,0.9532155696942914,0.0050000000006537,0.6863058552504764,0.14300661686116062,1.1841836912427417
Cyprus,CYP,74,0.9892498564756996,0.005,0.9732227858317619,0.2991701546158954,3.977225777904736
Czechia,CZE,74,0.8678021534499711,19.99999999986339,0.8281692130347206,0.19356697480480656,13.73935189838448
Germany,DEU,33,0.9021699321627932,14.32233664470896,-2.437033382945835,0.01369885483955567,6.266143262902669
Djibouti,DJI,74,0.980710921804098,0.0050000000014381,0.9700483195741331,0.32370476123175607,4.529687797515833
Denmark,DNK,74,0.983536154875377,0.0050000000044275,0.9071850123167033,0.04462523914566656,3.1288914971311237
Dominican Republic,DOM,74,0.9695289771961946,8.018794436472136,0.9476501074310437,0.2489517691804228,11.912060321969212
Algeria,DZA,74,0.9530524312982346,0.0050000000001039,0.9023699634272965,0.24407421621191203,2.3921429550105433
Ecuador,ECU,74,0.9845306277789828,1.4589501707565036,0.9748651707982761,0.3528413055949865,8.136097948431948
Egypt,EGY,74,0.9241842291533596,12.464641521018688,0.5442701998762485,0.06866709926746876,8.437747525453943
Eritrea,ERI,61,0.2508625722526768,0.0050000000141202,-6.114442937205203,0.20942202748122662,142.0
Spain,ESP,74,0.9774026869256182,0.005,0.9908658652364708,0.44406263364882526,23.26278455721456
Estonia,EST,74,0.8628012788727869,16.591901254021874,0.786314371576508,0.23456027555908462,13.746793955137246
Ethiopia,ETH,74,0.982842717839671,0.005000002829175,0.970459546465391,0.3653780775560721,7.020122305627119
Finland,FIN,74,0.9726814854362142,6.866968170345408,0.8544346335816453,0.0451861620463583,4.945262377949838
Fiji,FJI,72,0.9091572717425556,0.005,0.8183759613996962,0.414868923287236,7.250977297956353
France,FRA,74,0.9022491901157078,0.005,0.4257206074028559,0.14970369921995985,6.085756192997093
Gabon,GAB,74,0.9829835241489752,0.0050000000000051,0.9605684181250713,0.22646920225977013,2.40878300036709
United Kingdom,GBR,74,0.9793791761731476,4.009083507504325,0.9255525215971705,0.1582422813411229,5.198172506027214
Georgia,GEO,74,0.9810500774490392,10.059841989648948,0.9243511487533971,0.22748552329418315,13.527996475656852
Ghana,GHA,74,0.9351314111954192,16.27713446697906,0.8510414477341226,0.2926136954457489,34.00889644660043
Guinea,GIN,74,0.8518299850261661,0.005,0.5781619695865085,0.3019763491995397,3.7066554135846856
Gambia,GMB,74,0.932014367320209,0.005,0.8447020631560995,0.26997394379983325,2.871168737658351
Guinea-Bissau,GNB,74,0.971999790242043,0.005,0.9503506044939557,0.42199303880722544,9.829663300964423
Equatorial Guinea,GNQ,74,0.9724633282033014,0.5724426794881634,0.9446220928488783,0.3728545571106756,7.5822067004143
Greece,GRC,74,0.95305191391764,9.235814849769742,0.8547124488566309,0.21401703978280667,12.736789897066359
Guatemala,GTM,74,0.9485703180540104,3.65298129108793,0.9456257710192374,0.3677044206193261,19.52050946921223
Guyana,GUY,64,0.9758875156171632,0.0050000000000001,0.9141776809573796,0.2804994890473558,4.778190940266071
Hong Kong,HKG,74,0.9719396399017308,8.258740373530035,0.955765237667062,0.2969965037361731,27.63284798758037
Honduras,HND,74,0.9549233492481062,5.22155627613162,0.8971593309763428,0.2921643426195331,14.486926893085592
Croatia,HRV,74,0.9209541587232049,2.8398835754862204,0.9009804953039493,0.11901744034610914,3.2037962927680574
Haiti,HTI,74,0.7948093761641337,5.770004334268248,0.9245271060823156,0.42573279872366193,48.83170447498968
Hungary,HUN,74,0.9400798256459276,11.058124302675644,0.8353404574263205,0.2426453851529077,12.33684413645103
Indonesia,IDN,74,0.9504499801925356,0.4761474268432198,0.7979106424318299,0.17807925752644677,2.228668888183095
India,IND,74,0.959867399296042,1.8025112942595376,0.7102518003867335,0.15242024783264838,5.007204337412938
Ireland,IRL,74,0.9700011637223748,19.999999999999996,0.9563362050680642,0.13818750340557073,12.501790072867799
Iran,IRN,74,0.9157709761883038,0.0050000000000072,0.37292511453871335,0.25002150668830003,3.153256287068107
Iraq,IRQ,74,0.910465516078344,8.329325087738617,0.708925521601276,0.13338697233520871,9.159197311360328
Iceland,ISL,74,0.9705755725839214,17.229158021323645,0.9652595697693888,0.2338351527337665,26.18711612477393
Israel,ISR,74,0.9952363343995304,0.5290403441213766,0.8563744850062837,0.08571228437539237,4.2946861070727245
Italy,ITA,74,0.9759641387406576,3.3556764870673748,0.9416972356512048,0.17226723801697158,7.498096987734038
Jamaica,JAM,57,0.9937858399000752,1.327466982312264,0.9155064891907428,0.15333338070671607,8.27490861797274
Jordan,JOR,74,0.9870290127449928,0.6009990629322695,0.9810998128211479,0.3626649322689407,7.261190931009591
Japan,JPN,74,0.965231885456464,3.133158671243392,0.37072087038658885,0.08788241976508972,5.642814810070873
Kazakhstan,KAZ,74,0.9783848197730416,10.499972973849491,0.9043789950013961,0.23485801270295278,14.683149755114798
Kenya,KEN,74,0.9822037667174364,0.005,0.9635021168796142,0.2515482091170517,2.6663518594916584
Kyrgyzstan,KGZ,74,0.9654759176076328,19.99999999786437,0.8906113297679017,0.18922062059033315,20.275144165060688
Cambodia,KHM,74,0.8982207390023966,19.999999999999936,0.7562036271752963,0.26238804574664254,31.874606142259843
South Korea,KOR,74,0.9761081520155992,1.1141258631852915,0.8821767883518029,0.1824615622576572,3.097664621655967
Kuwait,KWT,74,0.9694578596828568,0.0050000000000001,0.8711383006893076,0.24287197204390232,2.6880083341372005
Laos,LAO,74,0.9435813462465212,1.7377961879263248,0.9574156487068889,0.3015810402391801,8.171655020882993
Lebanon,LBN,74,0.8887420587639,19.317600424479807,0.6838056322304276,0.04564447077924441,7.819010166880812
Liberia,LBR,74,0.9619434714492628,9.2329210695234,0.9322607667728346,0.3545426999312802,34.47999934006913
Libya,LBY,73,0.8566255408451726,6.93936462989093,0.7313458117484084,0.09274039821022498,17.18643718998954
Sri Lanka,LKA,74,0.9107976595237772,0.005,0.46704763443878994,0.1832986732555103,2.9064342678187027
Lesotho,LSO,74,0.9762785833232476,20.0,0.9502933315725982,0.2398577586830491,28.76294056210358
Lithuania,LTU,74,0.925178814782766,12.012139279380536,0.8483995487532756,0.2581945509463967,13.865397501093131
Luxembourg,LUX,74,0.8982036627170631,0.005,0.1335686594638057,0.08056598192308508,33.143367222581574
Latvia,LVA,72,0.9276457339241272,9.91228569329285,0.8730590692077038,0.27662034321410406,14.011819848630264
Morocco,MAR,74,0.985002600139082,7.391557706688938,0.9632867476287017,0.29189140355128224,16.899147779194365
