code,entity,n_years,year_start,year_end,S_floor,S_ceil,k,t_mid,v,R2
BGR,Bulgaria,74,1950,2023,-0.9636418480665,-3.790797693194563e-20,0.0167676890397161,1910.990549599843,0.0050000000002356,0.9603983676279136
BHR,Bahrain,74,1950,2023,-1.0678954241187544,-2.1790755153016417e-08,0.1857469442460713,2070.233651065859,18.413848236788308,0.942165743415796
BIH,Bosnia and Herzegovina,74,1950,2023,-0.9493209333825624,-0.0652579404712375,0.029916645387912,1959.7348252853128,0.8458567647815152,0.9684618430276036
BLR,Belarus,74,1950,2023,-0.8561955556304739,-0.1853019699121647,0.2073852837693001,1992.8448522716835,10.072036440853228,0.9697970334138452
BOL,Bolivia,74,1950,2023,-0.9560780013347366,-0.2032604283628736,0.1512258000994892,1993.4155610725877,3.97083305120806,0.973933523257102
BRA,Brazil,74,1950,2023,-0.9023908971355432,-0.1810806063919009,0.1810927158411151,1993.0119965409665,9.99806174093327,0.9493824686065973
BRB,Barbados,59,1950,2023,-0.6064140485984812,-0.1325707091691704,0.0808694819669572,1952.4897833213613,0.0050000000000015,0.9943214741507316
BTN,Bhutan,74,1950,2023,-0.7373102977689184,-1.9413091670847918e-17,0.0323377294755825,1995.1779100299923,0.523477670446885,0.9713172671869018
BWA,Botswana,74,1950,2023,-0.8752303884602681,-0.2680884205651881,0.0761011777003167,1967.745717599932,0.005,0.9742655787805344
CAF,Central African Republic,72,1950,2023,-0.9744428762909556,-0.3786320559651416,0.0517234059250675,1965.7117379902827,0.0050000000000045,0.9871222891887792
CAN,Canada,74,1950,2023,-1.1319999999999992,-0.103747952299803,0.1738027381099513,1969.0256786752027,19.999999999998103,0.9890644642977828
CHE,Switzerland,74,1950,2023,-0.4930642033021016,-0.0742098096504179,0.1394958763497552,1969.5798460811309,0.0050000000000503,0.968864603623885
CHL,Chile,74,1950,2023,-0.7705728015240044,-0.1427148202277776,0.2337883183500679,1990.674334863988,0.005,0.8775703401014017
CHN,China,74,1950,2023,-0.9017746854301,-0.3791338956754755,0.0634970597050056,1953.8219140639524,1.0183554182606565,0.9841458922258568
CIV,Cote d'Ivoire,74,1950,2023,-0.9131030393027808,-0.2856845694819384,0.0487199880317317,1968.195776957799,0.005,0.9601987749876624
CMR,Cameroon,63,1961,2023,-0.6942415742738433,-0.1710489892823461,0.0696498199325296,1987.3827124777156,0.005,0.977670078482314
COD,Democratic Republic of Congo,74,1950,2023,-0.9954223517654974,-2.449739893627548e-18,0.0184581666289911,1999.4783266962645,0.2117326676150314,0.972513729987426
COG,Congo,74,1950,2023,-1.0424665617078397,-1.918719672915761e-11,0.2066291718509108,2091.005125661531,19.99999999999605,0.8834268925567518
COL,Colombia,74,1950,2023,-0.859453826991403,-0.208125949388028,0.1669631031230153,1993.465270724028,7.927770021511422,0.9614940149461024
COM,Comoros,74,1950,2023,-0.8830679178018787,-0.4740749746918937,0.0765185653258047,1976.6254565529164,0.5911460133890744,0.916286090990832
CPV,Cape Verde,74,1950,2023,-0.8493503781533719,-0.2044619873357845,0.126986697541293,1976.7669850899408,0.005,0.985666868173826
CRI,Costa Rica,74,1950,2023,-0.6265075438752319,-0.0095834968330869,0.0434679721263846,1960.519586060959,0.0050000000000488,0.965733917001896
CUB,Cuba,74,1950,2023,-0.8705999754811682,-0.1459217218763432,0.0162216944005855,1937.0044329365332,0.0050000000006537,0.9532155696942914
CYP,Cyprus,74,1950,2023,-0.8288772712575336,-0.1109691422052463,0.0544825449028046,1969.4319571897847,0.005,0.9892498564756996
CZE,Czechia,74,1950,2023,-0.9677556368842574,-0.0571333470967215,0.1882102999778696,2000.6154517286736,19.99999999986339,0.8678021534499711
DEU,Germany,33,1991,2023,-1.030883980089679,-0.0365671844651417,0.1958169769657084,1985.78764304171,14.32233664470896,0.9021699321627932
DJI,Djibouti,74,1950,2023,-0.9271255822300668,-0.3396934875730851,0.0620505177741895,1990.922663460355,0.0050000000014381,0.980710921804098
DNK,Denmark,74,1950,2023,-0.7403611769939585,-0.0390031700901587,0.0428615273579606,1905.3116833363213,0.0050000000044275,0.983536154875377
DOM,Dominican Republic,74,1950,2023,-0.8672357643409945,-0.1729425790485094,0.1631789085201262,1991.8969660870105,8.018794436472136,0.9695289771961946
DZA,Algeria,74,1950,2023,-0.933064859636968,-0.1055738603449964,0.0327690815754869,1981.7092068822503,0.0050000000001039,0.9530524312982346
ECU,Ecuador,74,1950,2023,-0.8185735410985926,-0.1348922278066535,0.1114533965538623,1989.1121369366467,1.4589501707565036,0.9845306277789828
EGY,Egypt,74,1950,2023,-0.9270350720824584,-1.0128377915669851e-10,0.115585582540465,2098.103214015138,12.464641521018688,0.9241842291533596
ERI,Eritrea,74,1950,2023,-0.8624029598686959,-0.7949263402547895,2.0,1939.9813228881676,0.0050000000141202,0.2508625722526768
ESP,Spain,74,1950,2023,-0.8057758458090701,-0.0775103692033667,0.3186682816056789,1976.8734786834725,0.005,0.9774026869256182
EST,Estonia,74,1950,2023,-0.9609103764726646,-0.0086920524081843,0.1883122459607842,2005.5560757820915,16.591901254021874,0.8628012788727869
ETH,Ethiopia,74,1950,2023,-0.8647114469941681,-0.2540662316452908,0.0961660589811934,1992.683168450384,0.005000002829175,0.982842717839671
FIN,Finland,74,1950,2023,-1.0449999999999828,-0.0518999386601357,0.0677433202458882,1935.1777491297632,6.866968170345408,0.9726814854362142
FJI,Fiji,72,1950,2023,-0.6905166990115319,-0.395636793094932,0.0993284561363884,1970.6845299060476,0.005,0.9091572717425556
FRA,France,74,1950,2023,-0.5154042594374972,-0.1039678105544212,0.083366523191741,1947.246194959673,0.005,0.9022491901157078
GAB,Gabon,74,1950,2023,-0.9469357426422202,-0.0163413835164728,0.0329970274022889,1978.5416409290488,0.0050000000000051,0.9829835241489752
GBR,United Kingdom,74,1950,2023,-0.8136111954608164,-0.0868988013054849,0.071207842548318,1964.839559409609,4.009083507504325,0.9793791761731476
GEO,Georgia,74,1950,2023,-0.8646558690299805,-0.1284595444776965,0.1853150202144774,1999.9260615398389,10.059841989648948,0.9810500774490392
GHA,Ghana,74,1950,2023,-0.7964234648147909,-0.2004504986156102,0.465875293789047,1997.3506618017925,16.27713446697906,0.9351314111954192
GIN,Guinea,74,1950,2023,-0.9128714849496332,-0.5641604241246381,0.0507761015559546,1961.1589534748955,0.005,0.8518299850261661
GMB,Gambia,74,1950,2023,-0.8685774632875594,-0.2480585517157207,0.0393310785980596,1973.4051707128297,0.005,0.932014367320209
GNB,Guinea-Bissau,74,1950,2023,-0.958811694844474,-0.3731314343403735,0.1346529219310195,1973.462926465863,0.005,0.971999790242043
GNQ,Equatorial Guinea,74,1950,2023,-0.9592939538732184,-0.562016224264595,0.1038658452111548,1978.69361165327,0.5724426794881634,0.9724633282033014
GRC,Greece,74,1950,2023,-0.9301848870467294,-0.0778069835993707,0.1744765739324159,1981.2149681017409,9.235814849769742,0.95305191391764
GTM,Guatemala,74,1950,2023,-0.9235310198317408,-0.3182927979927503,0.2674042393042771,1997.0488953226013,3.65298129108793,0.9485703180540104
GUY,Guyana,64,1950,2023,-0.5546280906072505,-0.1511392929198085,0.0654546704146037,1963.074504810077,0.0050000000000001,0.9758875156171632
HKG,Hong Kong,74,1950,2023,-0.5406879687500762,-0.1135280357063698,0.3785321642134297,1980.4229181869432,8.258740373530035,0.9719396399017308
HND,Honduras,74,1950,2023,-0.8973850777421996,-0.2651235729628256,0.1984510533299396,1991.7656660992136,5.22155627613162,0.9549233492481062
HRV,Croatia,74,1950,2023,-1.3059999999999998,-4.645111267193541e-44,0.0438876204488775,1961.941814590744,2.8398835754862204,0.9209541587232049
HTI,Haiti,74,1950,2023,-0.7871220456500613,-0.5258151687755214,0.6689274585615025,1992.2876588235456,5.770004334268248,0.7948093761641337
HUN,Hungary,74,1950,2023,-0.901496646008343,-0.1243104779424337,0.1689978648828908,1990.155878838394,11.058124302675644,0.9400798256459276
IDN,Indonesia,74,1950,2023,-0.9473260018231476,-3.689099031453921e-32,0.0305297107970287,1988.0667843116696,0.4761474268432198,0.9504499801925356
IND,India,74,1950,2023,-0.8231289586434034,-0.3306196650386013,0.0685918402385334,1962.5082637341543,1.8025112942595376,0.959867399296042
IRL,Ireland,74,1950,2023,-0.9882123561833468,-0.0804872377148576,0.171257398258463,1989.5264399421208,19.999999999999996,0.9700011637223748
IRN,Iran,74,1950,2023,-0.9467380974086088,-0.67854298685899,0.0431952916036727,1947.0169590470464,0.0050000000000072,0.9157709761883038
IRQ,Iraq,74,1950,2023,-0.9574003591013877,-0.0021389190128088,0.1254684563200045,2048.3829275172657,8.329325087738617,0.910465516078344
ISL,Iceland,74,1950,2023,-0.5662485251963695,-0.0807111938609076,0.3587276181475881,1988.3444037325944,17.229158021323645,0.9705755725839214
ISR,Israel,74,1950,2023,-0.9295833011554864,-0.1332004982935091,0.0588313165352428,1934.684331467376,0.5290403441213766,0.9952363343995304
ITA,Italy,74,1950,2023,-0.9341886158091024,-0.0767452129777491,0.1027136573662197,1967.2274605915436,3.3556764870673748,0.9759641387406576
JAM,Jamaica,57,1967,2023,-0.593236189087812,-0.1074349227587507,0.1477662253209418,1968.8141401769776,1.327466982312264,0.9937858399000752
JOR,Jordan,74,1950,2023,-0.8163497140726903,-0.3599778304091269,0.0994683689179396,1985.9414742156573,0.6009990629322695,0.9870290127449928
