code,entity,year_start,year_end,n_years,S_now,S_range,log_R2,log_floor,log_ceil,log_k,log_tmid,ric_R2,ric_floor,ric_ceil,ric_k,ric_tmid,ric_v,dR2,status
LTU,Lithuania,1795,2025,225,-0.07399999999999995,0.779,0.8978995240469267,-0.8335480726373606,-4.159756235527481e-23,0.03247129473010039,1971.3890906827078,0.925178814782766,-0.885165658980087,-0.05065664859727411,0.18993695206976896,1999.504414298258,12.012139279380536,0.027279290735839234,ok
LUX,Luxembourg,1940,2025,86,-0.10399999999999998,0.63,0.890009298056009,-1.2219999999999973,-0.15918221794336515,0.2147674187156942,1941.9434214265864,0.8982036627170631,-0.7411070997318732,-0.16873357859296856,0.45401872907645996,1945.35523383359,0.005000000000000001,0.008194364661054054,ok
LVA,Latvia,1789,2025,218,-0.050000000000000044,0.8009999999999999,0.8983589082309043,-0.8192419330924645,-1.9164466500010046e-32,0.040622694591290566,1974.2583779408415,0.9276457339241271,-0.8597748632535551,-0.025100369972592396,0.19194273765246941,1997.9932096057994,9.91228569329285,0.02928682569322283,ok
MAR,Morocco,1789,2025,237,-0.28800000000000003,0.6829999999999999,0.9773167797742075,-0.9379840614857387,-5.598138616504027e-16,0.04642119840459866,2001.7604558816192,0.9850026001390819,-0.9479092887995554,-0.26297936673882333,0.23149517505745712,2003.843736817171,7.391557706688938,0.007685820364874418,ok
MDA,Moldova,1789,2025,211,-0.10199999999999998,0.748,0.9732777480586184,-0.8243074449473,-6.974076419778938e-23,0.04085106775404423,1981.3379050551905,0.9842816205324285,-0.8565363068613413,-0.10399921120028717,0.18865033064047265,1998.2324695530128,9.348626888953676,0.011003872473810072,ok
MDG,Madagascar,1817,2025,209,-0.29600000000000004,0.648,0.8701804694809869,-0.7631212706510788,-0.27716897430214055,0.11216535549723466,1977.463189885683,0.8810190246448261,-0.763311674299319,-0.2414749166360801,0.06281467354863436,1972.0526044153078,0.00500000000001174,0.010838555163839136,ok
MDV,Maldives,1900,2025,100,-0.46799999999999997,0.351,0.9513891966143204,-0.7441960643536266,-0.40926507536443096,0.05527434095044367,1978.8102200098795,0.9516652988676252,-0.7353182229535595,-0.366841051613689,0.03165510146892427,1971.9531696349848,0.005000000000181091,0.00027610225330476634,ok
MEX,Mexico,1789,2025,161,-0.19899999999999995,0.682,0.9936470836769268,-0.8703836718080306,-1.4407456724013235e-12,0.03743717081274039,1991.6906172011265,0.9948700972995861,-0.8810904762844166,-0.14116677750746454,0.08010545958483838,1994.879222173677,3.1425624028130477,0.001223013622659308,ok
MKD,North Macedonia,1789,2025,235,-0.17600000000000005,0.813,0.9786410602594993,-0.9475890925645374,-0.08896903244001791,0.036442202266956776,1959.4532308611508,0.9787892861407251,-0.9420334396352381,-0.04638124275273442,0.02989187226791761,1957.5085516284378,0.610599049177183,0.00014822588122587188,ok
MLI,Mali,1900,2025,125,-0.29400000000000004,0.651,0.9510609548659207,-0.9291428623407565,-0.33521731203520105,0.14919743849916392,1962.7534969594963,0.9594886405364491,-0.9203981483350478,-0.321219890348919,0.10095833099934552,1959.4562986919418,0.005000000000000001,0.008427685670528429,ok
MLT,Malta,1900,2025,105,-0.08299999999999996,0.484,0.9718993241044016,-0.6095730021193624,-0.07454903146537475,0.04329123948107434,1974.807666080332,0.9769974067584942,-0.5766687628227215,-0.04924015158843609,0.030845105232418613,1967.069254075261,0.005000000000000078,0.005098082654092617,ok
MMR,Myanmar,1789,2025,237,-0.6699999999999999,0.489,0.4768199792861523,-0.7453234462430718,-0.5296250988318933,1.916143878092604,2009.9429031498692,0.4769182693320049,-0.7452589519553755,-0.5294343449527689,1.4765497541865442,2009.6316351152248,0.0050000009391849886,9.829004585260037e-05,ok
MNE,Montenegro,1900,2025,31,-0.134,0.715,0.9979845840474457,-0.8203903347835019,-0.08126976491082351,0.08203393740335867,1991.7437961377198,0.9979853704975201,-0.8208965350478908,-0.08391025829782257,0.08494490525396585,1992.2967775927111,1.146192856553428,7.864500743970382e-07,ok
MNG,Mongolia,1911,2025,115,-0.19399999999999995,0.781,0.9257710927922778,-0.9266245337943405,-2.1376414979901618e-20,0.037984985377329396,1976.7338470400948,0.9397031300553378,-1.0913959476270934,-0.15648265250145482,0.2939196684247452,1995.879883843257,19.9999999999997,0.013932037263060026,ok
MOZ,Mozambique,1900,2025,126,-0.275,0.665,0.9825422312335484,-0.8879972023583634,-0.23369701533496312,0.18105814217841848,1984.4737176905749,0.986993319287441,-1.0244402179145742,-0.24537232500685127,1.1546465640307333,1992.173824732036,19.999999999999993,0.0044510880538926045,ok
MRT,Mauritania,1904,2025,122,-0.45899999999999996,0.544,0.9453698793547368,-0.9116384807134063,-0.13435210961876476,0.04253516584664815,2000.341797363739,0.9540720530371283,-0.994702534083137,-0.3674284200412389,0.41923256864328895,2006.9556713258637,19.999999999999996,0.008702173682391456,ok
MUS,Mauritius,1900,2025,126,-0.18600000000000005,0.45999999999999996,0.9815998970728632,-0.6157718533498124,-0.18981188539856672,0.08078645900619577,1975.1251794299055,0.9819736257691128,-0.6111477748322109,-0.17828767783293195,0.06611949305144883,1973.1218611699596,0.5229795376620439,0.0003737286962496311,ok
MWI,Malawi,1900,2025,126,-0.245,0.723,0.9664680398795652,-0.8925195754163485,-0.14251568189982383,0.09920919791605022,1992.916501369661,0.9778412839782176,-0.9099640355736421,-0.22350987401974096,0.4983616629007054,1999.319887222593,8.675392491927976,0.011373244098652369,ok
MYS,Malaysia,1900,2025,126,-0.22799999999999998,0.42800000000000005,0.8643183133904283,-0.5873179614675497,-0.07941299147975787,0.030158248924807615,2004.7500185854376,0.8717117423716196,-0.5553938025113982,-0.19232777087683606,0.02785924497675112,1977.8737376549063,0.005000000000000001,0.00739342898119133,ok
NAM,Namibia,1900,2025,126,-0.14500000000000002,0.769,0.9880414151729024,-0.8979975536024039,-0.2052441117029705,0.7419295705617994,1989.951000513213,0.9889490454759244,-0.8966078781253589,-0.20078321414213277,0.5108157486952655,1989.2344590335708,0.005000000000000001,0.000907630303021989,ok
NER,Niger,1922,2025,104,-0.29100000000000004,0.586,0.9723853684711173,-0.7874612389071055,-0.2344553194136624,0.09946322486916312,1990.2796323525201,0.9741399424532661,-0.7998672686691294,-0.2620187977207246,0.15834513114067617,1993.2272191740099,2.493218685407766,0.0017545739821487327,ok
NGA,Nigeria,1914,2025,66,-0.268,0.44399999999999995,0.9680807382278991,-0.7026515761944294,-0.23934629661503815,0.07423739533537325,1984.927064456239,0.9848550678076324,-0.7393417675548754,-0.28323971601593484,0.4211011302677638,1997.8027109684856,13.707470207846063,0.01677432957973335,ok
NIC,Nicaragua,1900,2025,126,-0.469,0.634,0.9670954043048607,-0.8539541857368148,-0.3221637636560372,0.2626196795260467,1981.0083931420227,0.9691000130416073,-0.8623030256909558,-0.3245342305371239,0.5624480760461099,1984.8191907374933,4.8292341709083555,0.0020046087367465715,ok
NLD,Netherlands,1789,2025,150,-0.09699999999999998,0.6990000000000001,0.9730380288575242,-0.7039399337951894,-0.038861417317651185,0.0532191243001554,1956.9233862065782,0.9847825582485303,-0.7299649252593099,-0.08781941282811942,0.21583264806068103,1972.402818115147,8.268887928904052,0.01174452939100612,ok
NOR,Norway,1789,2025,151,-0.07399999999999995,0.6739999999999999,0.9491460543987148,-0.7234588321852633,-2.3776855422845366e-14,0.03324553832121855,1932.1581849397585,0.9652361426032133,-0.819947743154755,-0.05363581539448899,0.19638504277815122,1965.7252523150469,17.04177382336948,0.01609008820449853,ok
NPL,Nepal,1789,2025,237,-0.20799999999999996,0.738,0.9753172258006491,-0.9383972643734392,-0.013851876340100383,0.06069951608376945,1999.4661600370077,0.9799369288958271,-0.9971818138732583,-0.23195503135283663,0.432891588046516,2005.9809905374414,13.568380083066076,0.004619703095178007,ok
NZL,New Zealand,1900,2025,126,-0.06299999999999994,0.33699999999999997,0.9873190833818347,-0.37653750644795364,-0.03914904789389877,0.07214213424758288,1974.2185941026362,0.995121390445886,-0.4084433247872993,-0.0639655097329672,0.3159119638888491,1986.5151273577198,10.40511177439865,0.007802307064051273,ok
