entity,n_points,S_floor,S_ceil,k,t_mid,v,R2,status
Burundi,110,-0.6012902982179547,-0.02840278060119634,0.4352585701089519,2000.4637658178892,5.313535070618323,0.9698586869095138,ok
Cambodia,126,-0.9204081264100795,-0.17833065804616524,0.05631077629116396,1961.5623329043085,0.005000000000007462,0.9199260689605899,ok
Cameroon,65,-1.2800709745525156,-0.0016211521455999855,0.3490480740195254,2008.628759653525,19.999999999999996,0.9552554132934444,ok
Canada,126,-1.4379999999999808,0.1685500879152486,0.025102499941081723,1928.1751224984755,0.6987865609802668,0.9781788452306396,ok
Cape Verde,126,-0.7086834012174001,0.04075033593176929,0.05600516179847386,1986.516233217285,0.005000000000053555,0.9654726066313777,ok
Central African Republic,104,-0.9667711430758416,-0.1024964340750794,0.04486152747541282,1967.1961008666026,0.0050000000000000105,0.9838878867676001,ok
Chad,106,-0.8857729347062421,0.40299999999999986,0.03821352156624326,2014.9236422453416,0.289249582481481,0.8998723652999131,ok
Chile,143,-0.8720561033435369,-0.09661505031739201,0.9999999996515114,1999.7324536579051,3.3285336594249078,0.9301646191161319,ok
China,237,-0.7991009945313505,-0.1476881226879266,0.5918963225524385,1955.990373900528,8.279556719977696,0.9873107327651857,ok
Colombia,158,-0.8307995519671901,0.46199999999982194,0.01957263952630834,1991.330744025092,0.005000000009599457,0.966547567461434,ok
Comoros,94,-0.98411733911165,0.4219999994250933,0.38258961966505206,2047.3889231521575,19.35980568738209,0.8527280783167455,ok
Congo,123,-0.8270296024291036,0.05894153236681658,0.4531112267361015,2047.1079953854776,12.738556484425384,0.631422872941151,ok
Costa Rica,126,-0.8743026874984904,0.20731787576402202,0.03450685256846853,1968.764953588078,0.005000000000043184,0.9544754700129324,ok
Cote d'Ivoire,126,-0.8402079996933911,-0.15319624571215984,0.04750319644417785,1974.7595691933116,0.005000000000000001,0.9575648359461079,ok
Croatia,85,-1.2949999999999997,0.49199999999836874,0.01617316580800527,1951.954317215845,0.005000000000000001,0.9105033680371364,ok
Cuba,233,-0.7442388600223043,-0.022505395720666482,0.9999999955514808,1983.4592987440546,17.909181761227945,0.9562322519017505,ok
Cyprus,126,-0.8778457099993308,-0.03233903177953581,0.05262908253682822,1968.2282337176443,0.005000000000006553,0.9778697680726364,ok
Czechia,177,-0.8214347658273579,-0.10695370700472132,0.2338910985963092,1960.9321012871085,11.695342388691293,0.9590026550149239,ok
Democratic Republic of Congo,126,-1.2244641558019358,0.30499999985443405,0.0118803640095657,1949.475576428671,0.005000000000000001,0.9562028417943279,ok
Democratic Republic of Vietnam,26,-0.34331006372538025,-0.30902256888426355,0.9999999999999999,1957.1782268545346,0.005000000000000001,0.9638382679869016,ok
Denmark,185,-0.799647496264559,-0.0005186842757365644,0.05313639189366207,1919.9834795800807,0.005000000000000005,0.968555982083283,ok
Djibouti,126,-0.9109720433759965,0.4769999999994159,0.04203471405289486,2004.2431458666406,0.048036366337319635,0.97556429111337,ok
Dominican Republic,160,-0.8045408160798542,-0.06683127886719582,0.2442069939474049,1999.6650244745836,5.075665580502755,0.9755700773139381,ok
East Germany,41,-0.15148770345874943,-0.057893116331753695,0.3955307061651206,1966.5480511204296,0.28100022594825436,0.9364539773032308,ok
East Timor,124,-0.8496664596229585,-0.03236872921215703,0.9999999998485012,2005.46724914996,12.702656502426695,0.9594798992914333,ok
Ecuador,126,-0.9214840771116742,0.02047501980253882,0.15102908057593084,1995.8108200687318,1.4619962103556956,0.981189381813608,ok
