entity,frac_within_0.10,n,v,collapse_r2
Sudan,0.28169014084507044,71,0.0050000001622858,0.5082896912105799
Senegal,0.8243243243243243,74,0.005,0.9352993203149403
Singapore,0.7222222222222222,72,0.005,0.8839415523237131
Solomon Islands,0.9594594594594594,74,7.892894513508795,0.8506986390763799
Sierra Leone,0.8392857142857143,56,5.380442636546971,0.9626311379881279
El Salvador,0.8378378378378378,74,7.303591668614669,0.9637066619073107
Somalia,0.9459459459459459,74,4.424348584456998,0.5165535748517387
Serbia,0.9459459459459459,74,0.2355871216144459,0.89907931931381
South Sudan,0.9594594594594594,74,1.197943292378297,0.8146546363564635
Sao Tome and Principe,0.8243243243243243,74,0.005,0.9442071819083175
Suriname,0.8783783783783784,74,18.528180313697703,0.9336727949933177
Slovakia,0.9324324324324325,74,19.999999999983384,0.7839447888349201
Slovenia,0.9594594594594594,74,0.6865744144259185,0.9333963137753062
Sweden,1.0,74,5.353754201752987,0.9252148153301646
Eswatini,0.234375,64,0.0050069876321545,0.18747542455841637
Seychelles,0.8656716417910447,67,0.005,0.9683630010136876
Syria,0.6081081081081081,74,8.091415873364856,0.11416689126008128
Chad,0.6621621621621622,74,3.495313851070104,0.8475448765144016
Togo,0.958904109589041,73,0.0050000000042679,0.9607172527500639
Thailand,0.8648648648648649,74,8.21362733341728,0.9445467036074424
Tajikistan,0.4594594594594595,74,10.673385710483714,0.15491797114871653
Turkmenistan,0.09859154929577464,71,8.149773518987327,0.018426957324647608
East Timor,0.7638888888888888,72,5.811201426616437,0.9650201388235192
Trinidad and Tobago,1.0,62,19.99999999998348,0.9627740111815983
Tunisia,0.7432432432432432,74,0.0050000000000005,0.8883959654508208
Turkey,0.7972972972972973,74,0.0050000000000103,0.6741168655678095
Taiwan,0.9864864864864865,74,12.029434381830749,0.9727287692233167
Tanzania,1.0,59,0.0050000000000047,0.9159620411683056
Uganda,0.7702702702702703,74,11.484432126615449,0.9354808884545367
Ukraine,0.7702702702702703,74,4.197965757603106,0.9471699787590792
Uruguay,0.8378378378378378,74,19.99999999999681,0.5497185217798991
United States,1.0,74,7.46666086911403,0.9887997890882035
Uzbekistan,0.6756756756756757,74,0.005,0.21343968393921453
Venezuela,0.8108108108108109,74,5.38069430712,0.8311838274252479
Vietnam,0.9375,48,0.0050000000000011,0.9760590082326859
Vanuatu,0.7162162162162162,74,0.005,0.9764269642763624
Yemen,0.030303030303030304,33,19.999999963349048,-0.005325878148032981
South Africa,0.9594594594594594,74,0.0050000000035365,0.9906316505992824
Zambia,0.8108108108108109,74,0.005,0.9481654798150532
Zimbabwe,0.6891891891891891,74,0.0050000000001258,0.9742875493155483
