code,bp_year,n,k_A,k_B,ratio,is_pw_winner
OWID_GFR,1968.0,42,0.005945652173913041,0.0018751879699248125,3.170696628429969,1
OWID_PMA,1848.0,60,0.007314685314685316,0.002359451219512194,3.100163823771527,1
ARE,2006.0,55,0.01482406015037594,0.004829601029601031,3.069417133945025,1
HND,1981.0,127,0.007459552042160736,0.002464169783171686,3.0272070102894397,0
TUR,1922.0,235,0.0026619385468900037,0.0008930692861873054,2.9806629654171193,0
LSO,1965.0,126,0.007157852987837121,0.0024490136728942714,2.9227492957921672,0
COD,1959.0,126,0.0052941974618884195,0.0018343706585162531,2.8861110688341896,1
BIH,1946.0,195,0.004989533520862634,0.0017303100907120326,2.8836065556373263,0
NLD,1957.0,150,0.00413397880891487,0.0014343799547112434,2.8820667741045543,0
NGA,1998.0,66,0.003477818759159745,0.0012230432402846204,2.8435779248086153,0
MUS,1968.0,126,0.004464794364637486,0.001589879430032882,2.808259721018685,0
OWID_SAM,1985.0,154,0.006054093979094076,0.002254522053278593,2.6853114922029846,0
FIN,1945.0,126,0.005259204440333026,0.001959010840108401,2.6846224291653282,0
TJK,1954.0,146,0.0017256873110251668,0.0006447199176795931,2.6766464998259645,0
AZE,1953.0,201,0.0035369616191534008,0.0013442160229343004,2.6312449478414472,0
CAF,1959.0,104,0.005988624459866441,0.002299343339587241,2.604493359804834,0
LBY,2011.0,106,0.004121428571428565,0.0016177619988150607,2.5476111903032272,1
MWI,1994.0,126,0.006826979472140764,0.0026980403135498324,2.53034746658713,0
OWID_SML,1991.0,95,0.0027997198879551833,0.0011129258736401876,2.515639140276059,0
HUN,1989.0,185,0.0023917147853313174,0.0009542437174016142,2.5063982520565156,1
GHA,1993.0,124,0.0033798144352141534,0.00135360962566845,2.4968900716446276,0
BGD,1971.0,220,0.001967821067821068,0.0007906760210581944,2.4887830355440044,0
JAM,1967.0,104,0.003766627703097604,0.0015250360578288058,2.4698614067264435,0
COM,1975.0,94,0.0033066063348416302,0.0013430827372114993,2.461952821839396,0
TLS,2000.0,124,0.004091435185185186,0.0016651053194014574,2.4571630019510735,0
NER,1988.0,104,0.006608053397527082,0.00276334903024982,2.391320577020877,0
TTO,1986.0,110,0.006995224608797159,0.0029901500938086297,2.339422567208713,0
PNG,1975.0,126,0.0009488448393711553,0.0004133031674208159,2.2957599025730744,0
CZE,1938.0,177,0.007821545560212743,0.003441430749877642,2.2727598283042116,1
OWID_OCE,1970.0,126,0.0033563669463431297,0.0014795529490274988,2.2685007309466343,0
PRT,1974.0,157,0.0025846922223170866,0.0011518317845193818,2.2439841104016645,0
OWID_KOS,2015.0,15,0.01641275167785234,0.007820346320346323,2.0987244049730913,0
ISL,1983.0,103,0.003226785967104042,0.0015489278163696777,2.0832384395206156,0
AUS,1966.0,160,0.004078966379549877,0.001990547958417831,2.0491675984496283,0
NIC,1980.0,126,0.0025924144310823303,0.0012720415537488706,2.037995082347861,0
CMR,2000.0,65,0.0091186679174484,0.004485128205128207,2.0330896911758947,0
PAN,1990.0,123,0.00253835263835264,0.0013564333767743307,1.8713433935022854,0
ALB,1982.0,114,0.011688372093023258,0.006254963112005366,1.8686556393257323,1
TCD,1991.0,106,0.004261064425770306,0.002308942697279567,1.8454613147354242,1
BFA,1992.0,92,0.004601463601212,0.0025084797555385775,1.8343634590042979,1
VEN,1958.0,157,0.0025818796045348705,0.0014420404911139875,1.7904348875393565,0
OWID_HAN,1803.0,28,0.001904257572548189,0.001074999999999998,1.771402393068086,0
ARG,1983.0,190,0.0037156448202959828,0.0021260886954316714,1.7476433736183217,1
SVK,1938.0,185,0.007194841675178753,0.004120349676086797,1.7461725923251932,1
IRL,1989.0,126,0.004377182368193604,0.0025640113798008554,1.7071618334757845,0
ARM,1989.0,96,0.006769084874348034,0.004005182599546434,1.6900814647288736,0
SWZ,1978.0,126,0.0009443660442900567,0.000564459591041869,1.6730445531928397,0
VAT,1805.0,75,4.0755467196819126e-05,2.594920594258449e-05,1.5705862941238025,0
OWID_DRV,1964.0,31,0.011947552447552443,0.007869924812030074,1.518127902478719,0
ZAF,1994.0,123,0.0016785243889186148,0.0011176686217008805,1.5018086365923182,0
JPN,1946.0,227,0.002915963431786218,0.0019482780902052165,1.4966874833967225,0
BRA,1986.0,161,0.0027198874296435276,0.0018362055617612042,1.481254324834272,0
BDI,1992.0,110,0.0035518716577540117,0.0024864346180135666,1.428499921945115,0
EST,1990.0,230,0.0032544401544401524,0.0023269266116781344,1.3986002558512636,1
KHM,1993.0,126,0.0027099664053751383,0.0019575534759358262,1.3843639209292171,0
BRB,1950.0,111,0.0023703439696868022,0.001735384615384616,1.3658896988443447,0
GBR,1965.0,126,0.0045077131823400484,0.0033047065044949763,1.364028296070702,0
OWID_HSG,1815.0,15,0.008285714285714294,0.006212121212121201,1.3337979094076693,0
LTU,1990.0,225,0.0028747747747747774,0.002231842659265008,1.28807233020696,0
LBN,1976.0,108,0.003019543817527011,0.002438690824079487,1.2381823016317675,1
UKR,1990.0,80,0.005072715572715573,0.004166271409749671,1.2175672379011826,0
LVA,1990.0,218,0.0025244146038841575,0.0021010891082988647,1.2014790776427546,0
TKM,1990.0,118,0.003466654561235133,0.0028864864864864863,1.2009945577312728,1
NZL,1981.0,126,0.002383452509223887,0.00203913043478261,1.1688573072952955,0
SUR,1991.0,126,0.002974847032350538,0.002580952380952381,1.1526160088443045,0
GRC,1975.0,169,0.002771221719457015,0.0024372721521675363,1.1370177585594978,0
NOR,1946.0,151,0.002663525550867324,0.002355104401241069,1.1309585891240008,0
OWID_SIC,1807.0,71,0.00020691338736451528,0.00018540118162759688,1.1160305751455701,0
UGA,1987.0,126,0.0028556408721073573,0.002586842105263157,1.1039100014250216,0
SLV,1992.0,126,0.0030398525857181224,0.0027683728036669198,1.0980647482490824,0
LKA,1983.0,126,0.00406584113560858,0.003754692720461678,1.082869208830661,1
DNK,1916.0,185,0.0024284996046815533,0.002247674864188625,1.0804496875299636,0
USA,1970.0,126,0.004199161636485582,0.004006766917293233,1.0480174472745025,0
URY,1985.0,131,0.0031411031639234513,0.0031196864111498264,1.0068650338370808,1
