code,entity,ric_ceil,ric_k,labsh_mean,labsh_latest,gdppc_mean,gdppc_latest,lgdppc_mean,lgdppc_latest,edi_mean
DOM,Dominican Republic,-0.1729425790485094,0.1631789085201262,0.5647534683142624,0.426505953073502,8079.700404631596,23020.2080813572,8.997110072193008,10.044127721390415,0.23664651162790698
CMR,Cameroon,-0.1710489892823461,0.0696498199325296,0.5969515489414334,0.64359712600708,3034.728225572443,4821.994388476495,8.017877152720438,8.480942895006821,0.23758461538461537
LUX,Luxembourg,-0.1687335785929685,0.4540187290764599,0.5002081672082077,0.498331904411316,46459.45538126321,94276.8549240112,10.746335283941082,11.453990997605349,0.7632792792792793
MNG,Mongolia,-0.1564826525014548,0.2939196684247452,0.3849106309088795,0.405753165483475,5569.057146068425,15025.803295709238,8.624981044996604,9.617524221914978,0.2836782608695652
SUR,Suriname,-0.1531818909598173,0.4512412928601189,0.4659619553416386,0.458059996366501,10083.239027922751,16583.384896070194,9.21862982214444,9.71615656322456,0.4245555555555556
UKR,Ukraine,-0.1487126350635376,0.2584518809011562,0.5539983300601738,0.558368802070618,9950.411111640267,16389.788127772852,9.205369147051874,9.704413744733813,0.269575
CHL,Chile,-0.1427148202277776,0.2337883183500679,0.4457376611559357,0.440223604440689,12236.23360496602,26102.746869282946,9.412156796700682,10.16979583180685,0.3260384615384615
MEX,Mexico,-0.1411667775074645,0.0801054595848383,0.3776846669010214,0.380911499261856,13902.951208430239,20008.072467592607,9.53985641373594,9.903891094481754,0.22999999999999998
ECU,Ecuador,-0.1348922278066535,0.1114533965538623,0.49882381510090174,0.529587686061859,8684.840398334027,14109.194288758288,9.069334301803304,9.554581941073188,0.30833163265306124
ISR,Israel,-0.1332004982935091,0.0588313165352428,0.5323023844409636,0.49906313419342,24400.23316330371,43940.78666194773,10.10234796710874,10.690598248872282,0.2798708133971292
BRB,Barbados,-0.1325707091691704,0.0808694819669572,0.746558781713247,0.750565946102142,15416.461194090187,10766.854405632828,9.643191126232736,9.284227657446294,0.46789682539682537
ZAF,South Africa,-0.1319782839823522,2.0,0.58238764469688,0.542889833450317,10587.449350122468,12587.378250122634,9.267424555017104,9.440449864695841,0.33303174603174607
GEO,Georgia,-0.1284595444776965,0.1853150202144774,0.39044957564157606,0.466998279094696,10182.591581923007,23399.150444702183,9.228434833532994,10.060454994904765,0.13046222222222223
HUN,Hungary,-0.1243104779424337,0.1689978648828908,0.614301695867821,0.53658401966095,18196.233572162273,35093.4920723901,9.808969905063996,10.465770981220187,0.2491139240506329
TUN,Tunisia,-0.1233176608118896,0.0412248038774247,0.5356519347988072,0.560900449752808,7564.277778618259,12096.438693436323,8.931192152876953,9.400666365406858,0.09867510548523206
ARG,Argentina,-0.1203217006800176,0.1597699306694801,0.4606321160052273,0.528471767902374,10614.206738270674,27221.44328256058,9.269948641083081,10.211760297671233,0.3462236286919831
TGO,Togo,-0.116726975662499,0.039879193558566,0.6018495796756311,0.500760853290558,1878.1967573678378,2764.492465314831,7.5380674239116905,7.924612340259653,0.1727181818181818
PRT,Portugal,-0.1140061905874952,1.3186220488102052,0.6568014798937616,0.617257416248322,17273.99844818785,36500.35956228601,9.75695767000509,10.505077390543596,0.28128691983122367
HKG,Hong Kong,-0.1135280357063698,0.3785321642134297,0.48405865347012866,0.526560127735138,34312.58103412744,60256.57876527631,10.443267359899442,11.006367036516902,0.1992857142857143
CYP,Cyprus,-0.1109691422052463,0.0544825449028046,0.5299654099586845,0.536577582359314,19457.591441245353,35813.18269866218,9.875992578359716,10.486071336414305,0.40273809523809523
JAM,Jamaica,-0.1074349227587507,0.1477662253209418,0.5638235509395602,0.608830451965332,6737.313332624565,9401.169858177693,8.815416509100539,9.14858941351209,0.4508095238095238
USA,United States,-0.1072477222141739,0.2251306005828001,0.6167349493181384,0.568302690982819,42003.20024566195,72724.94995921638,10.645501090687997,11.194439795280887,0.5212278481012659
TTO,Trinidad and Tobago,-0.1058452239427197,0.1970129725191731,0.4876633004562277,0.338196009397507,18936.52785584944,27981.235698787437,9.848848026589488,10.239289410889299,0.46126190476190476
TWN,Taiwan,-0.1043757582507799,0.30218660872999,0.7247490850213456,0.650920629501343,23879.206861108345,62097.43296584549,10.08076335343353,11.03645992996323,0.1489612068965517
MDA,Moldova,-0.1039992112002871,0.1886503306404726,0.5736368885811638,0.51309597492218,6834.423078179846,11377.887476891625,8.829727338599215,9.339427055728525,0.13799078341013823
FRA,France,-0.1039678105544212,0.083366523191741,0.6685325374474398,0.630978584289551,28121.896659142534,51341.531426383444,10.244303792410438,10.846255283087839,0.5102573839662448
CAN,Canada,-0.103747952299803,0.1738027381099513,0.6908229194782877,0.659301698207855,34087.283512793496,54893.482943186624,10.436679676207193,10.913149912676918,0.613772972972973
NLD,Netherlands,-0.0878194128281194,0.215832648060681,0.6536427244946765,0.558655858039856,33866.53277209363,69632.75273256512,10.43018257187068,11.150990320870008,0.4961054852320675
GBR,United Kingdom,-0.0868988013054849,0.071207842548318,0.600969434589953,0.595121324062347,29384.003126283234,50556.129917635175,10.288205693893564,10.830839481540501,0.5492151898734177
ISL,Iceland,-0.0807111938609076,0.3587276181475881,0.6599162309556398,0.617417812347412,32912.035275243186,62702.09172723824,10.401593683697074,11.046150086945543,0.7810634920634921
IRL,Ireland,-0.0804872377148576,0.171257398258463,0.5531242662990417,0.308987885713577,35850.41941636801,132781.93030868084,10.48711054516067,11.796463439813818,0.5515147679324894
GRC,Greece,-0.0778069835993707,0.1744765739324159,0.5096705780453878,0.540112018585205,18787.481487677185,34119.436589687226,9.840946048707567,10.437622488857535,0.3603021276595745
ESP,Spain,-0.0775103692033667,0.3186682816056789,0.6405104511492962,0.594492614269257,22183.480180847,45602.144525439246,10.007103154855868,10.727710023463295,0.27975105485232066
ITA,Italy,-0.0767452129777491,0.1027136573662197,0.5643905715362447,0.511646032333374,26531.379801067596,50424.534995304915,10.186083454865964,10.82823314107052,0.4046208530805687
CHE,Switzerland,-0.0742098096504179,0.1394958763497552,0.6492418662921801,0.653461694717407,47405.62661180579,90148.17383026845,10.766496205528718,11.409209971413182,0.5704035087719298
TZA,Tanzania,-0.0734999952128301,0.0304926774025783,0.4785328651778402,0.582648754119873,1871.254957295578,3549.704019555617,7.5343645849196825,8.174619504220527,0.22866666666666668
BEN,Benin,-0.0705595765767725,0.0459911731569986,0.6274457912553437,0.617155015468597,2277.383635444019,3462.740686649894,7.730782534719713,8.149815660469582,0.2234920634920635
AUS,Australia,-0.0700942233126941,0.1838507359345413,0.6332933185873805,0.546087741851807,34283.18492480831,64022.29825847854,10.442410277521027,11.066986711949765,0.5977299578059072
AUT,Austria,-0.0698335356787366,0.2429796549312463,0.6115665073330337,0.607999980449677,30084.173644599643,62776.71892525532,10.311754519921381,11.047339565972766,0.40105194805194805
BIH,Bosnia and Herzegovina,-0.0652579404712375,0.029916645387912,0.654809371513479,0.671102285385132,8998.06686630309,18936.022276804957,9.104765040614126,9.848821327619245,0.14288144329896907
NZL,New Zealand,-0.0639655097329672,0.3159119638888491,0.5887418075187788,0.554435253143311,26260.28926596076,46861.86950929819,10.1758131632554,10.754959606897607,0.7531560693641618
CZE,Czechia,-0.0571333470967215,0.1882102999778696,0.5141990842188107,0.511502087116242,30942.06788675726,44794.334212850736,10.339871957276907,10.709836941942113,0.2934725738396624
NOR,Norway,-0.0536358153944889,0.1963850427781512,0.5207437027145075,0.384227871894836,44012.118127339076,97990.53462234428,10.692220286966458,11.492626167501747,0.5298721461187215
FIN,Finland,-0.0518999386601357,0.0677433202458882,0.6207935600667387,0.582876920700073,27961.238612935824,51588.352509335076,10.238574494827779,10.851051199426305,0.5568743169398908
LTU,Lithuania,-0.0506566485972741,0.1899369520697689,0.5206717515692993,0.570802509784699,22146.78896897968,41541.229386226616,10.00544779742405,10.634441692231139,0.193995670995671
MLT,Malta,-0.049240151588436,0.0308451052324186,0.5757415213755199,0.459493517875671,17429.681327728576,46814.521420389305,9.765929855370945,10.753948720537212,0.5260079365079365
MKD,North Macedonia,-0.0463812427527344,0.0298918722679176,0.5890115850112018,0.524812817573547,12245.720039823718,22175.7813480933,9.4129317704197,10.006756042096743,0.12432478632478632
SWE,Sweden,-0.0439587989996983,0.0628300676242968,0.6376914551129214,0.610155045986176,32381.031916662574,59512.06412096714,10.385328095675723,10.99393432931661,0.5250042194092827
DNK,Denmark,-0.0390031700901587,0.0428615273579606,0.6385476540874792,0.601182818412781,32644.896683714516,65734.81591543973,10.393443818773163,11.093383986722733,0.553210970464135
DEU,Germany,-0.0365671844651417,0.1958169769657084,0.6659892322243873,0.637351155281067,30428.88158971618,60107.83951233704,10.323147488673564,11.003895553153649,0.3024869109947644
BEL,Belgium,-0.0359854725958798,0.0688929558788181,0.6437478669591852,0.586125731468201,29083.061215038248,57912.86469534043,10.277911194849809,10.966694827056086,0.485295358649789
URY,Uruguay,-0.027454103790752,0.1130033595496662,0.5141803102718815,0.518926978111267,13099.304580407907,26629.59550332474,9.480314422315114,10.189778489181716,0.48468656716417907
LVA,Latvia,-0.0251003699725923,0.1919427376524694,0.5505840603043052,0.622257053852081,19652.188057407475,34392.610119629455,9.885943962620296,10.445596998180122,0.206126582278481
AGO,Angola,-0.0222544247138967,0.0364903105136633,0.2849252792420212,0.223235100507736,5069.295286463953,6148.320148084188,8.530957090171613,8.723934176836245,0.07757142857142857
SRB,Serbia,-0.0208149138113511,0.0309062252889892,0.6297668534166673,0.636854469776154,13021.157642907609,21841.932178743846,9.474330824475778,9.99158689566833,0.1620341463414634
GAB,Gabon,-0.0163413835164728,0.0329970274022889,0.36742946738377213,0.275395452976227,12046.624169191395,19587.405736462933,9.396539747734593,9.882642074219406,0.16991379310344829
CRI,Costa Rica,-0.0095834968330869,0.0434679721263846,0.5505802514585288,0.530688881874085,10602.389600180595,25029.431963412186,9.268834688673039,10.127807689937866,0.48762234042553193
EST,Estonia,-0.0086920524081843,0.1883122459607842,0.588887449573068,0.606712400913239,23135.762165603464,37481.46411524024,10.049134845064863,10.53160179949654,0.21924894514767934
ALB,Albania,-0.0040058239138594,0.207303632304987,0.8200110362635714,0.704890131950378,6765.016202718822,15923.539694592686,8.819519935682408,9.675553777309085,0.256125
IRQ,Iraq,-0.0021389190128088,0.1254684563200045,0.19976693336610418,0.296306312084198,8754.042383509994,13618.253210400511,9.077270859355524,9.519166319672408,0.08880168776371308
BHR,Bahrain,-2.1790755153016417e-08,0.1857469442460713,0.31549925550266567,0.2935651242733,32884.07283391505,53608.26463241225,10.400743711143523,10.889458526075911,0.0576031746031746
EGY,Egypt,-1.0128377915669851e-10,0.115585582540465,0.3838915696015232,0.361513197422028,4963.671336323895,17043.005132056038,8.509900934689345,9.743495142349174,0.10721518987341772
LBN,Lebanon,-6.649575050402576e-11,0.1071097283134358,0.444517523050308,0.444517523050308,10185.903384386189,12814.694133170335,9.228760022261747,9.45834777063743,0.3296448598130841
KEN,Kenya,-9.703114718270553e-14,0.0365253679382419,0.5391048265470042,0.540175199508667,2876.9254109388344,5685.675142177752,7.964477437229657,8.645705157651916,0.19732539682539682
ARM,Armenia,-2.31017847382526e-19,0.2413301565182596,0.6270922702901505,0.508563578128815,9107.508383333932,20843.334546219277,9.11685444936914,9.944789490083826,0.2267685185185185
ROU,Romania,-1.5213889045665654e-19,0.0365276310410935,0.5610232586041095,0.499527931213379,11695.500190234152,34522.06501364465,9.36695944768335,10.449353964197414,0.2564512820512821
KOR,South Korea,-4.845525162875901e-20,0.0424337619404927,0.4925991200225455,0.545923173427582,19865.4452162778,56190.31605774973,9.896737080093088,10.936499708894656,0.17580590717299577
BGR,Bulgaria,-3.790797693194563e-20,0.0167676890397161,0.4572954100591166,0.516510665416718,13860.20722131851,28114.87334535742,9.53677722366521,10.24405401583824,0.19342616033755275
SVK,Slovakia,-7.005361872599877e-23,0.1101452056894725,0.5123174067805795,0.531750798225403,23136.768914668868,32017.067155002984,10.049178358961425,10.374024388195897,0.30727705627705626
SVN,Slovenia,-4.588514831781588e-23,0.0446735571652693,0.6606824766187107,0.632693946361542,29429.388788113767,42147.18574218418,10.289749072684085,10.648923193518478,0.2367214611872146
POL,Poland,-2.9687221144885704e-24,0.016757956035194,0.575993010291347,0.547969162464142,16868.484168787727,39120.301002681845,9.733202317844825,10.574396818461736,0.29336686390532546
IDN,Indonesia,-3.689099031453921e-32,0.0305297107970287,0.5075492663308977,0.509304404258728,5088.860258149863,13909.486710282694,8.534809166622473,9.540326383466164,0.14558407079646019
HRV,Croatia,-4.645111267193541e-44,0.0438876204488775,0.6332109254949233,0.612615644931793,21050.32271468627,36373.317418814004,9.954671169856967,10.501590746876477,0.3316823529411765
